"(\\t for tab)","(\\t pour une tabulation)"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Chemin absolu ou relatif vers la racine d'installation de Magento, par ex. var/export)"
"(For US 2-letter state names)","(Pour les US, 2 lettres du nom de l'état)"
"(If left empty will be auto-generated)","(Généré automatiquement si non renseigné)"
"(Leave empty for first spreadsheet)","(Laisser vide pour la première feuille de calcul)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Les produits seront ajoutés/mis à jour dans ce magasin si la colonne 'store' est vide ou manquante dans le fichier d'import)"
"(Starting with)","(Commençant par)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Si 'Non', seuls les champs mappés seront importés. Lorsque vous utilisez le mapping, utilisez 'column1', 'column2', etc.)"
"[ deleted ]","[ effacé ]"
"[deleted]","[effacé]"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Erreur 404</h1><p>Page introuvable.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Accès refusé</h1><p>Accès refusé.</p>"
"2YTD","Depuis le début de l'année dernière"
"aasdasdsadasd","aasdasdsadasd"
"Access Denied.","Accès refusé"
"Access Deny","Refus d'accès"
"Account Created in:","Compte créé dans :"
"Account Created on:","Compte créé le :"
"Account Information","Informations du compte"
"Account status","Statut du compte"
"Account successfully saved","Compte sauvegardé avec succès"
"Action","Action"
"Action Code","Code d'action"
"Actions","Actions"
"Actions XML","Actions XML"
"Active","Actif"
"Add Field Mapping","Ajouter un mapping de champs"
"Add New Image","Ajouter nouvelle image"
"Add New Profile","Ajouter un nouveau profil"
"Add new Role","Ajouter un nouveau rôle"
"Add New Role","Ajouter un nouveau rôle"
"Add New Template","Ajouter un nouveau gabarit"
"Add New Urlrewrite","Ajouter une nouvelle réécriture d'URL"
"Add New User","Ajouter nouvel utilisateur"
"Add Url Rewrite","Ajouter une réécriture d'URL"
"Address Type:","Type d'adresse :"
"Admin","Admin"
"Advanced Profiles","Profils avancés"
"Aggregate Order","Agréger la commande"
"All","Tous"
"All Allowed Countries","Tous les pays autorisés"
"All Cache","Tout le cache"
"All countries","Tous les pays"
"All fields","Tous les champs"
"All Files","Tous les fichiers"
"All possible rates were fetched, click on ""Save"" to apply","Tous les taux possibles ont été récupérés, cliquez sur ""Sauvegarder"" pour appliquer les modifications"
"All rates were fetched, click on ""Save"" to apply","Tous les taux sont récupérés, cliquez sur ""Sauvegarder"" pour appliquer les changements"
"All Store Views","Toutes les vues magasin"
"All Tags","Tous les tags"
"All valid rates successfully saved","Tous les taux valides ont été sauvegardés"
"All Websites","Tous les sites web"
"Amounts","Montants"
"Any","Tous"
"Any Attribute Set","Tous les jeux d'attributs"
"Any Group","Tous les groupes"
"Any Status","Tous les statuts"
"Any Store","Tous les magasins"
"Any Type","Tous les types"
"Any Visibility","Toutes les visibilités"
"API Stability","Stabilité de l'API"
"API Version","Version de l'API"
"API:","API :"
"Archive file name:","Nom du fichier d'archive :"
"Are you sure that you want to delete this template?","Êtes-vous certain de vouloir supprimer ce gabarit ?"
"Are you sure that you want to strip tags?","Êtes-vous sûr de vouloir supprimer les tags ?"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Are you sure you wish to INSTALL all selected packages?","Êtes-vous certain de vouloir installer tous les paquets sélectionnés ?"
"Are you sure you wish to UNINSTALL all selected packages?","Êtes-vous certain de vouloir désinstaller tous les paquets sélectionnés ?"
"Are you sure you wish to UPGRADE all selected packages?","Êtes-vous certain de vouloir mettre à jour tous les paquets sélectionnés ?"
"Assigned","Affecté"
"Attribute Set Name:","Nom du jeu d'attributs"
"Attribute set successfully saved.","Groupe d'attributs sauvegardé avec succès"
"Attribute set was successfully removed.","Groupe d'attributs supprimé avec succès"
"Attribute set with the same name already exists.","Un groupe d'attributs avec le même nom existe déjà"
"Auto Updates","Mises à jour automatiques"
"Available Remote","Disponible à distance"
"Available Version","Version disponible"
"Average Order Amount","Montant moyen de commande"
"Average Orders","Moyenne des commandes"
"Average Sales","Moyenne des ventes"
"b","o"
"Back","Retour"
"Back to local packages","Retour aux paquets locaux"
"Backup","Sauvegarde"
"Backup record was deleted","La sauvegarde a bien été effacée"
"Backup successfully created","La sauvegarde a bien été créée"
"Backups","Sauvegardes"
"Base currency","Devise de base"
"Best Customers","Meilleurs clients"
"Bestsellers","Meilleures ventes"
"Big Image","Grande image"
"Billing address","Adresse de facturation"
"Billing Address","Adresse de facturation"
"Block Information","Informations bloc"
"Blocks HTML output","Sortie des blocs HTML"
"Both (without and with tax)","Les deux (avec et sans taxes)"
"Browse Available Extensions","Parcourir les extensions disponibles"
"Browse Available Remote Extensions","Parcourir les extensions disponibles à distance"
"Browse Files...","Parcourir les fichiers..."
"Cache control","Contrôle du cache"
"Cache management","Gestion du cache"
"Can't delete design change","Impossible d'effacer le changement de design"
"Card Verification Number","Numéro de vérification"
"Catalog","Catalogue"
"Category","Catégorie"
"Changelog","Journal des modifications"
"Channel","Canal"
"Channel:","Canal :"
"Checkout","Règlement des achats"
"Choose an attribute","Choisir un attribut"
"Choose Store View","Choisir une vue magasin"
"Clean and Disable","Effacer et désactiver"
"Clean and Enable","Effacer et activer"
"Clear Images Cache","Vider le cache images"
"Collections Data","Données de collections"
"Complete","Terminée"
"Configuration","Configuration"
"Configuration successfully saved","Configuration sauvegardée avec succès"
"Conflicts","Conflits"
"Connect with the Magento Community","Connexion à la communauté de Magento"
"Contents","Contenu"
"Convert to Plain Text","Convertir en texte simple"
"Cookie (Unsafe)","Cookie (risqué)"
"Country","Pays"
"Country:","Pays :"
"Coupon Code","Code bon de réduction"
"Coupons","Bons de réduction"
"Create Extension Package","Créer un paquet d'extension"
"Create New Attribute","Créer un nouvel attribut"
"Created At","Créé le"
"Credit Card Number","Numéro de carte de crédit"
"Credit Card Number: xxxx-%s","<strong>Numéro de carte de paiement :</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","<strong>Type de carte de paiement :</strong> <span class=""nowrap"">%s</span>"
"Creditmemo #%s created","Avoir n°%s créé"
"CSV","CSV"
"CSV / Tab separated","CSV / séparé par des tabulations"
"Currency","Devise"
"Currency Information","Information devise"
"Current Configuration Scope:","Portée de la configuration courante :"
"Current Release Information","Informations sur la publication courante"
"Custom","Personnaliser"
"Custom Local","Personnalisations locales"
"Customer","Client"
"Customer Group:","Groupe de clients :"
"Customer Name","Nom du client"
"Customer Since:","Client depuis le :"
"Customer was deleted","Le client a été supprimé"
"Customer was successfully saved","Le client a été sauvegardé avec succès"
"Customer with the same email already exists.","Un client avec la même adresse email existe déjà."
"Customers","Clients"
"Dashboard","Tableau de bord"
"Data Format","Format de données"
"Data transfer:","Transfert de données"
"Database","Base de données"
"Date Added","Date d'ajout"
"Date selector","Sélecteur de date"
"Date Updated","Date de mise à jour"
"Date:","Date :"
"Default","Défaut"
"Default Config","Configuration par défaut"
"Default scope","Portée par défaut"
"Default Values","Valeurs par défaut"
"Delete","Supprimer"
"Delete Profile","Effacer le profil"
"Delete Role","Supprimer le rôle"
"Delete Sitemap","Effacer le plan de site"
"Delete Store View","Effacer la vue magasin"
"Delete Tag","Supprimer le tag"
"Delete Template","Supprimer le gabarit"
"Delete Url","Effacer l'URL"
"Delete User","Supprimer l'utilisateur"
"Delete Website","Supprimer le site web"
"Dependencies","Dépendances"
"Description","Description"
"Short Description","Description courte"
"Description:","Description :"
"Design","Design"
"Design change deleted","Changement de design effacé"
"Design change saved","Changement de design sauvegardé"
"Direction:","Direction :"
"Disable","Désactiver"
"Disabled","Désactivé"
"Discount Amount","Montant de remise"
"Display default currency","Afficher la devise par défaut"
"Done by:","Fait par :"
"Done By:","Fait par :"
"Download and Install","Télécharger et installer"
"Download Remote File","Télécharger le fichier distant"
"Downloading and installing $pkg, please wait...","Téléchargement et installation de $pkg en cours, veuillez patienter..."
"EAV types and attributes","Types EAV et attributs"
"Edit","Éditer"
"Edit Email Template","Éditer le gabarit de l'email"
"Edit Poll","Éditer le sondage"
"Edit Role","Modifier le rôle"
"Edit Set Name","Éditer le nom du groupe"
"Edit Store View","Éditer la vue magasin"
"Edit System Template","Éditer le gabarit système"
"Edit Tag","Éditer le tag"
"Edit Template","Éditer le gabarit"
"Edit Url","Éditer l'URL"
"Edit Url #%s","Éditer l'URL n°%s"
"Edit User","Modifier l'utilisateur"
"Edit User '%s'","Éditer l'utilisateur '%s'"
"Edit Website","Modifier le site web"
"Email","Email"
"Email Preview","Prévisualisation de l'email"
"Email to a Friend","Envoi à un ami"
"Email:","Email :"
"Enable","Activer"
"Enabled","Activé"
"Enclose Values In:","Entourer les valeurs avec :"
"Entity Type","Type d'entité"
"Entity type:","Type d'entité :"
"Error uploading the file","Erreur lors du téléchargement du fichier"
"Error while deleting this role. Please try again later.","Erreur pendant la suppression de ce rôle. Veuillez réessayer ultérieurement"
"Error while deleting this set.","Erreur pendant la suppression de ce groupe"
"Error while saving account. Please try again later","Erreur lors de la sauvegarde du compte. Veuillez réessayer ultérieurement"
"Error while saving this configuration: ","Erreur lors de la sauvegarde de la configuration :"
"Error while saving this role. Please try again later.","Erreur pendant la sauvegarde de ce rôle. Veuillez réessayer ultérieurement"
"Error while updating selected review(s). Please try again later.","Erreur les de la mise à jour des commentaires sélectionnés. Veuillez réessayer plus tard."
"Exclude","Exclure"
"Exclude (comma separated)","Exclure (valeurs séparées par des virgules)"
"Expiration Date","Date d'expiration"
"Expiration Date: %s/%s","Date d'expiration : %s/%s"
"Export","Exporter"
"Export CSV","Exporter en CSV"
"Export Filters","Filtres d'export"
"Export to:","Exporter vers :"
"Export:","Export :"
"Extension","Extension"
"Extension Name","Nom d'extension"
"Extensions","Extensions"
"Field Mapping","Mapping de champs"
"Field names in first row:","Noms des champs dans la première ligne :"
"File %s.ser could not be read","Impossible de lire le fichier %s.ser"
"File Information","Informations du fichier"
"File name:","Nom du fichier :"
"File size should be more than 0 bytes","Le fichier doit avoir une taille supérieure à 0 octets"
"Finished profile execution.","Exécution du profil terminée."
"First Name","Prénom"
"First Name:","Prénom :"
"Firstname","Prénom"
"Forgot your user name or password?","Nom d'utilisateur ou mot de passe oublié ?"
"From","Entre"
"FTP Host[:Port]","Hôte FTP[ :Port]"
"Gb","Go"
"General Information","Informations générales"
"Get help for this page","Obtenir de l'aide pour cette page"
"Get Image Base64","Récupérer l'image Base64"
"Global Attribute","Attribut global"
"Global Record Search","Recherche globale"
"Grand Total","Total"
"Grid (default) / List","Grille (par défaut) / Liste"
"Grid only","Grille seulement"
"Group:","Groupe :"
"Guest","Invité"
"Help Us Keep Magento Healthy - Report All Bugs","Aidez-nous à améliorer Magento - Signalez tous les bugs"
"Home","Accueil"
"HTTP (unsecure)","HTTP (non sécurisé)"
"HTTPS (SSL)","HTTPS (SSL)"
"ID","ID"
"ID Path","ID chemin"
"Ignore","Ignorer"
"Images","Images"
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"images/logo.gif","images/logo.gif"
"Import","Import"
"Import Service","Service d'import"
"Import/Export","Importer/Exporter"
"Import/Export Advanced Profiles","Profils avancés d'import/export"
"Import/Export GUI Profiles","Profils interface graphique d'import/export"
"Import/Export Profile","Profil d'import/export"
"Import/Export Profiles","Profils d'import/export"
"In","Dans"
"In Database:","Dans la base de données :"
"In File:","Dans le fichier :"
"Inactive","Inactif"
"Include","Inclure"
"Individual Item","Article individuel"
"Install","Installer"
"Install Package File","Installer le fichier du paquet"
"Installed As","Installé en tant que"
"Installed Extension Info","Informations de l'extension installée"
"Installed Version","Version installée"
"Installing $pkg, please wait...","Installation de $pkg en cours, veuillez patienter..."
"Installing selected packages, please wait...","Installation des paquets sélectionnés en cours, veuillez patienter..."
"Instant Payment Notification (IPN)","Notification instantanée de paiement (IPN)"
"Interactive","Interactif"
"Interface Locale: %s","Interface locale : %s"
"Invalid directory: %s","Répertoire invalide : %s"
"Invalid file: %s","Fichier invalide : %s"
"Invalid Import Service Specified","Service d'import spécifié non valide"
"Invalid input data for %s => %s rate","Données d'entrée pour %s => taux %s : non valides"
"Invalid input:","Entrée invalide :"
"Invalid section value","Valeur de section invalide"
"Invalid store value","Valeur de magasin invalide"
"Invalid URL","URL invalide"
"Invalid Username or Password.","Identifiant ou mot de passe non valide"
"Invalid website value","Valeur de site web invalide"
"Invoice","Facture"
"Invoice #%s created","Facture n°%s créée"
"Invoice #%s","Facture n°%s"
"Invoice History","Historique de la facture"
"Invoice Totals","Totaux de la facture"
"Invoices","Factures"
"Invoice #","Facture n°"
"Invoice # ","Facture n° "
"Invoiced","Facturé"
"Invoice email sent","Email de facture envoyé"
"Invoice History","Historique de la facture"
"New Invoice for Order #%s | Order Date: %s | Customer Name: %s","Nouvelle facture pour la commande  n°%s en date du %s pour le client n°%s"
"IP Address","Adresse IP"
"Issue Number","Numéro de problème"
"Items","Articles"
"items selected","éléments cochés"
"Kb","Ko"
"Last 24 hours","24 dernières heures"
"Last 5 Orders","5 dernières commandes"
"Last 5 Search Terms","5 derniers termes recherchés"
"Last 7 days","7 derniers jours"
"Last Logged In:","Dernièrement connecté dans :"
"Last Month","Mois dernier"
"Last Name","Nom de famille"
"Last Name:","Nom de famille :"
"Lastname","Nom"
"Layouts","Gabarits"
"Level","Niveau"
"License","Licence"
"License URI","URI de la licence"
"License:","Licence :"
"Lifetime Sales","Ventes depuis le début"
"List (default) / Grid","Liste (par défaut) / grille"
"List only","Liste seulement"
"Load","Charger"
"Load default template","Charger le gabarit par défaut"
"Load previously created custom local package information","Charger les informations des paquets locaux personnalisés créés antérieurement"
"Load Template","Charger le gabarit"
"Loading...","En cours de chargement..."
"Local Server","Serveur local"
"Local/Remote Server","Serveur local/distant"
"Locale","Profil local"
"Locally Installed","Installé en local"
"Log in to Admin Panel","<em>Connexion</em> à l'admin"
"Log into Magento Admin Page","Connexion à la page d'admin de Magento"
"Log Out","Déconnexion"
"Logged in as %s","Connecté sous <strong>%s</strong>"
"Login","Se connecter"
"Magento Admin","Admin Magento"
"Magento Commerce - Administrative Panel","Panneau de gestion - Magento Commerce"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento est une marque déposée de Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Magento is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento est une marque déposée de Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Magento Logo","Logo Magento"
"Magento ver. %s","Magento <strong>ver. %s</strong>"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; est une marque déposée de Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Responsables de la maintenance"
"Manage Advanced Import/Export Profiles","Gérer les profils d'import/export avancés"
"Manage Currency","Gérer les devises"
"Manage Currency Rates","Gérer les taux des devises"
"Manage Customers","Gérer les clients"
"Manage Import/Export Profiles","Gérer les profils d'import/export"
"Manage Installed Extensions","Gérer les extensions installées"
"Manage Profiles","Gérer les profils"
"Manage Stores","Gérer les magasins"
"Manage Url Rewrites","Gérer la réécriture d'URL"
"Max","Max"
"Maximum","Maximum"
"Mb","Mo"
"md5sum","md5sum"
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)"
"Min","Min"
"Minimum","Minimum"
"Most Viewed Products","Produits les plus consultés"
"MS Excel XML","XML MS Excel"
"My Account","Mon compte"
"Name","Nom (usage interne)"
"Name on Card","Propriétaire de la carte"
"Name on the Card: %s","<strong>Nom sur la carte :</strong> <span class=""nowrap"">%s</span>"
"Name:","Nom :"
"New Accounts","Nouveaux comptes"
"New Customers","Nouveaux clients"
"New Email Template","Nouveau gabarit de mail"
"New Extension","Nouvelle extension"
"New Password","Nouveau mot de passe"
"New Profile","Nouveau profil"
"New Store View","Nouvelle vue magasin"
"New System Template","Nouveau gabarit système"
"New Tag","Nouveau tag"
"New Template","Nouveau gabarit"
"New Url","Nouvelle URL"
"New User","Nouvel utilisateur"
"New Website","Nouveau site web"
"Next page","Page suivante"
"No","Non"
"No (price without tax)","Non (prix sans taxes)"
"No change","Pas de changement"
"No Data Found","Aucune donnée trouvée"
"No description","Pas de description"
"No Extensions Found","Aucune extension trouvée"
"No profile","Aucun profil"
"No profile loaded...","Aucun profil chargé..."
"No records found for this period.","Aucune donnée pour cette période."
"No records found.","Aucun enregistrement trouvé."
"No search keywords.","Aucun mot clé de recherche."
"No search modules registered","Aucun module de recherche enregistré"
"No Templates Found","Aucun gabarit trouvé"
"None","Aucun"
"Notes","Remarques"
"Notes:","Remarques :"
"Number of Orders","Nombre de commandes"
"Number of Use","Nombre d'utilisations"
"Number of Uses","Nombre d'utilisations"
"of %s pages","sur %s page(s)"
"Old rate:","Ancien taux :"
